city,place,rating,type,user_id
Mysore,Bonsai Garden,5.0,Park,1
Mysore,City Shopping,5.0,Mall,1
Mandya,Sri Ranganathaswamy Temple Place of Worship,5.0,Place of Worship,24
Gadag,"Nagakunda, Sudi Taluka Heritage Site",5.0,Heritage Site,24
Tumkur,Sri Venugopala Swamy Temple Temple,5.0,Temple,4
Shimoga,Sri Kalikaparmeswari Temple Temple,5.0,Temple,10
Shimoga,Shiva Temple Temple,5.0,Temple,2
Gulbarga,Chandralamba Temple Temple,5.0,Temple,25
Gulbarga,Deval Ghanagapur Village,5.0,Village,19
Chitradurga,Hiriyur Place of Worship,5.0,Place of Worship,22
Raichur,Bala Hisar Offbeat Attraction,5.0,Offbeat Attraction,6
Haveri,Ranebennur Blackbuck Sanctuary Sanctuary,5.0,Sanctuary,30
Raichur,Koormagadde Village,5.0,Village,7
Mandya,Tonnur Kere Lake,5.0,Lake,12
Tumkur,Siddara Betta Place of Worship,5.0,Place of Worship,23
Belgaum,Kote Keri (Fort Lake) Lake,5.0,Lake,17
Kolar,Kolaramma Temple Place of Worship,5.0,Place of Worship,31
Coorg,Mandalpatti View Point View point,5.0,View point,33
Chamarajanagar,Dargah Of Peer Hazarath Sayyaduna Hazarath Murdana Gayib Religious Place,5.0,Religious Place,2
Chikmagalur,Torana Ganapati Temple Temple,5.0,Temple,15
Chikmagalur,Madagadakere Lake Lake,5.0,Lake,29
Mysore,Ashtanga Yoga Institute,5.0,Temple,1
Mysore,Ashtanga Yoga Institute,5.0,Temple,1
Mysore,Ashtanga Yoga Institute,5.0,Temple,1
Tumkur,Kalleshwara Temple Place of Worship,5.0,Place of Worship,25
Tumkur,Yoganarasimha Temple Temple,5.0,Temple,12
Bangalore,Raja Rajeshwari Temple Temple,5.0,Temple,10
Dharwad,Urban Oasis Mall Mall,5.0,Mall,24
Bangalore,Jai Durga Maa Temple Temple,5.0,Temple,5
Dandeli,Dandelappa Temple Temple,5.0,Temple,10
Chitradurga,Jogimatti Religious Place,5.0,Religious Place,20
Bangalore,Mantri Square Mall,5.0,Mall,31
Bangalore,Art Focus Creativity Art Gallery,5.0,Art Gallery,6
Bangalore,Don Bosco Church Church,5.0,Church,31
Bangalore,Mahalingeshwara Temple Temple,5.0,Temple,6
Udupi,Shani Temple Temple,5.0,Temple,21
Bangalore,Saint Anthony's Friary Church Church,5.0,Church,16
Bangalore,Chikka Tirupathi Temple,5.0,Temple,23
Udupi,Prasanna Ganapati Temple Temple,5.0,Beach,35
Davanagere,Anekonda,5.0,Hill,1
Davanagere,Anekonda,5.0,Hill,1
Mysore,Ashtanga Yoga Institute,5.0,Temple,1
Udupi,Durga Parameshwari Temple Temple,5.0,Temple,4
Udupi,Jomlu Theertha Falls Water Fall,5.0,Beach,19
Tumkur,Kote Anjeneya Swami Statue Statue,5.0,Statue,21
Mangalore,Mahatma Gandhi Museum Museum,5.0,Museum,24
Tumkur,Aralaguppe Place of Worship,5.0,Place of Worship,20
Bangalore,Pyramid Valley International Architectural Building,5.0,Architectural Building,17
Mangalore,Sammilan Shetty'S Butterfly Park Park,5.0,Park,11
Davanagere,Anekonda,5.0,Hill,1
